Victory,Pax,Mars,Jupiter,Securitas,Liberalitas,Salus,Pietas,Pudicitia,Concordia
0.077989601,0.061983471,0.013513514,0.061946903,0.064516129,0.157480315,0.060674157,0.046717172,-0.054054054,-0.001926782
0.062700965,0.042801556,0.093333333,-0.025,0.045454545,0.044217687,0.025423729,0.006031363,-0.071428571,0.027027027
0.060514372,0.074626866,0.146341463,-0.153846154,0.173913043,-0.091205212,0.030991736,0.002398082,0.169230769,-0.003759398
0.044222539,0.027777778,0,0.181818182,0.160493827,-0.003584229,-0.02004008,-0.001196172,0.065789474,-0.016981132
-0.099726776,-0.047297297,0.053191489,-0.076923077,0,-0.118705036,0.08793456,0.047904192,0.098765432,0.028790787
0.106221548,0.117021277,0.111111111,0.12037037,-0.053191489,0.155102041,-0.161654135,-0.089142857,0.179775281,-0.246268657
0.058984911,-0.073015873,0.763636364,0.090909091,0.08988764,0.109540636,-0.051569507,-0.318695107,0.142857143,-0.094059406
0.054404145,-0.318493151,0.365979381,0.053030303,0.051546392,0.057324841,0.054373522,0.044198895,0.158333333,-0.06010929
-0.052825553,-0.075376884,0,-0.086330935,-0.039215686,0.195783133,0.020179372,0.086419753,-0.050359712,0.122093023
0.140077821,0.081521739,0.139622642,0.133858268,-0.020408163,0.108312343,0.373626374,-0.26461039,0.196969697,0.155440415
0.145620023,-0.08040201,0.341059603,-0.138888889,-0.1875,-0.063636364,0.0048,-0.061810155,-0.050632911,-0.002242152
-0.000993049,-0.114754098,0.409876543,-0.370967742,0,0.024271845,-0.038216561,0.007058824,-0.046666667,0.006741573
0.067594433,0.197530864,0.061295972,-0.358974359,-0.115384615,0.007109005,-0.100993377,0.007009346,-0.041958042,-0.037946429
0.203910615,0.097938144,-0.024752475,0.1,-0.028985507,0.047058824,-0.034990792,0.004640371,-0.02189781,-0.150812065
0.040989946,-0.018779343,0.0321489,-0.018181818,-0.194029851,-0.004494382,-0.007633588,-0.018475751,-0.059701493,0.030054645
0.052005944,-0.071770335,-0.008196721,-0.055555556,-0.055555556,-0.072234763,0,-0.047058824,0,-0.015915119
0.048728814,0.025773196,0.034710744,-0.078431373,0.039215686,-0.090024331,0.069230769,-0.017283951,-0.023809524,0.02425876
0.051178451,0.020100503,0.019169329,0.404255319,-0.094339623,0.002673797,0.082733813,-0.145728643,-0.081300813,0.034210526
0.045483664,-0.073891626,0.031347962,0.242424242,-0.020833333,-0.029333333,0.043189369,-0.05,-0.008849558,-0.012722646
0.034926471,-0.271276596,0.048632219,0.085365854,0.255319149,-0.035714286,-0.00477707,-0.043343653,-0.098214286,-0.00257732
-0.002368265,-0.072992701,0.027536232,0.426966292,0.440677966,0.088319088,-0.04,0.019417476,-0.099009901,0.018087855
0.059940653,0.031496063,0.049365303,0.220472441,-0.023529412,-0.002617801,-0.008333333,-0.015873016,-0.153846154,-0.04822335
0.019036954,0.045801527,0.016129032,-0.038709677,0.144578313,-0.015748031,-0.050420168,-0.022580645,0,0
0.007692308,0.080291971,0.005291005,0.073825503,0,0.090666667,-0.02300885,0.01980198,-0.155844156,-0.002666667
0.031624864,0.128378378,0.017105263,0.08125,-0.189473684,0.046454768,0.077898551,-0.113268608,0,-0.029411765
0.004756871,0.047904192,0.031047865,-0.057803468,-0.064935065,0,-0.006722689,0.01459854,-0.076923077,-0.019283747
0.055234087,0,0.04642409,0.147239264,0.013888889,-0.025700935,0.011844332,0.021582734,0,-0.016853933
0.027417747,-0.022857143,-0.071942446,0.106951872,-0.082191781,0.127098321,0.010033445,-0.183098592,0.016666667,-0.042857143
0.013100437,0.046783626,-0.082687339,0.183574879,0.507462687,0.014893617,-0.051324503,-0.176724138,-0.213114754,-0.03880597
0.082375479,0.078212291,0.052112676,0.195918367,0.04950495,-0.13836478,0,-0.382198953,0.041666667,-0.245341615
0.042920354,0.170984456,-0.014725569,0.174061433,-0.047169811,-0.04622871,-0.171029668,-0.042372881,0.06,-0.193415638
0,0.084070796,-0.133152174,0.093023256,0.118811881,0.005102041,-0.082105263,0,0.132075472,0.035714286
