Year Before;Lead;
1950;pg/g;Missing values -0.999
2202,5;2,96;
2201,5;3,13;
2200,5;5,2;
2199,5;3,64;
2198,5;5,03;
2197,5;2,79;
2196,5;3,77;
2195,5;-0,999;
2194,5;2,5;
2193,5;3,3;
2192,5;2,97;
2191,5;1,73;
2190,5;3,22;
2189,5;2,67;
2188,5;3,57;
2187,5;1,88;
2186,5;2;
2185,5;2,55;
2184,5;3,35;
2183,5;2,25;
2182,5;1,98;
2181,5;1,62;
2180,5;1,58;
2179,5;2,45;
2178,5;1,55;
2177,5;2,44;
2176,5;2,4;
2175,5;2;
2174,5;1,57;
2173,5;2,11;
2172,5;1,47;
2171,5;2,57;
2170,5;2,18;
2169,5;2,67;
2168,5;-0,999;
2167,5;-0,999;
2166,5;-0,999;
2165,5;2,59;
2164,5;2,61;
2163,5;2,07;
2162,5;2,34;
2161,5;3,11;
2160,5;1,25;
2159,5;1,49;
2158,5;2,42;
2157,5;1,71;
2156,5;11,04;
2155,5;4,77;
2154,5;4,11;
2153,5;3,62;
2152,5;3,76;
2151,5;11,19;
2150,5;8,65;
2149,5;3,41;
2148,5;3,01;
2147,5;2,84;
2146,5;2,64;
2145,5;2,49;
2144,5;4,01;
2143,5;3,18;
2142,5;2,78;
2141,5;3,23;
2140,5;7,28;
2139,5;2,57;
2138,5;2,13;
2137,5;2,37;
2136,5;3,05;
2135,5;3,33;
2134,5;4,29;
2133,5;4,06;
2132,5;3,13;
2131,5;3,07;
2130,5;2,79;
2129,5;3,25;
2128,5;3,17;
2127,5;3,74;
2126,5;3,61;
2125,5;2,45;
2124,5;3,05;
2123,5;2,47;
2122,5;3,39;
2121,5;3,17;
2120,5;2,63;
2119,5;2,5;
2118,5;2,44;
2117,5;2,99;
2116,5;2,47;
2115,5;3,61;
2114,5;3,18;
2113,5;2,48;
2112,5;2,11;
2111,5;2,75;
2110,5;1,96;
2109,5;3,56;
2108,5;4,32;
2107,5;3,16;
2106,5;3,39;
2105,5;3,91;
2104,5;2,57;
2103,5;3,93;
2102,5;2,87;
2101,5;2,48;
2100,5;2,29;
2099,5;3,01;
2098,5;5,17;
2097,5;5,72;
2096,5;5,46;
2095,5;3,97;
2094,5;4,51;
2093,5;2,85;
2092,5;3,28;
2091,5;3,08;
2090,5;5,43;
2089,5;4,35;
2088,5;3,2;
2087,5;3,21;
2086,5;2,35;
2085,5;1,89;
2084,5;4,74;
2083,5;5,26;
2082,5;3,27;
2081,5;3,91;
2080,5;3,2;
2079,5;4,04;
2078,5;7,76;
2077,5;8,69;
2076,5;4,91;
2075,5;3;
2074,5;4,15;
2073,5;4,72;
2072,5;2,66;
2071,5;3,04;
2070,5;4,62;
2069,5;3,2;
2068,5;4,3;
2067,5;3,6;
2066,5;2,5;
2065,5;4,13;
2064,5;3,34;
2063,5;2,06;
2062,5;2,01;
2061,5;3,28;
2060,5;2,91;
2059,5;2,24;
2058,5;2,03;
2057,5;4,34;
2056,5;5,46;
2055,5;2,72;
2054,5;2,81;
2053,5;4,66;
2052,5;2,91;
2051,5;2,17;
2050,5;1,32;
2049,5;2,29;
2048,5;2,12;
2047,5;2,82;
2046,5;1,77;
2045,5;1,92;
2044,5;2,27;
2043,5;1,95;
2042,5;2,24;
2041,5;2,41;
2040,5;1,34;
2039,5;1,96;
2038,5;3,08;
2037,5;1,95;
2036,5;2,23;
2035,5;1,7;
2034,5;1,96;
2033,5;2,46;
2032,5;2,61;
2031,5;4,2;
2030,5;2,06;
2029,5;2,24;
2028,5;3,03;
2027,5;2,26;
2026,5;1,3;
2025,5;0,85;
2024,5;1,41;
2023,5;1,41;
2022,5;2,49;
2021,5;1,05;
2020,5;2,43;
2019,5;1,99;
2018,5;2,27;
2017,5;2,53;
2016,5;2,04;
2015,5;1,58;
2014,5;1,66;
2013,5;1,93;
2012,5;1,34;
2011,5;2,1;
2010,5;1,82;
2009,5;1,75;
2008,5;2,36;
2007,5;6,06;
2006,5;1,37;
2005,5;2,39;
2004,5;3,07;
2003,5;2,59;
2002,5;3,67;
